Suburb,Price,Date
Melbourne,427000.0,3/12/2016
Melbourne,1160500.0,4/03/2017
Melbourne,780000.0,4/06/2016
Melbourne,535000.0,7/05/2016
Melbourne,450000.0,7/11/2016
Melbourne,360000.0,7/11/2016
Melbourne,665000.0,7/11/2016
Melbourne,386000.0,10/09/2016
Melbourne,659000.0,10/09/2016
Melbourne,671000.0,10/12/2016
Melbourne,545000.0,12/11/2016
Melbourne,450000.0,12/11/2016
Melbourne,432000.0,13/08/2016
Melbourne,400000.0,13/08/2016
Melbourne,210000.0,13/08/2016
Melbourne,750000.0,15/10/2016
Melbourne,375000.0,15/10/2016
Melbourne,680000.0,17/09/2016
Melbourne,470000.0,18/03/2017
Melbourne,650000.0,18/03/2017
Melbourne,483000.0,18/03/2017
Melbourne,610000.0,18/06/2016
Melbourne,700000.0,19/11/2016
Melbourne,520000.0,19/11/2016
Melbourne,440000.0,22/08/2016
Melbourne,436000.0,23/04/2016
Melbourne,733000.0,24/09/2016
Melbourne,675000.0,24/09/2016
Melbourne,1630000.0,25/02/2017
Melbourne,760000.0,28/05/2016
Melbourne,360000.0,28/08/2016
Melbourne,390000.0,30/07/2016
Melbourne,432000.0,6/05/2017
Melbourne,1850000.0,8/04/2017
Melbourne,333000.0,8/04/2017
Melbourne,452000.0,13/05/2017
Melbourne,895000.0,22/04/2017
Melbourne,275000.0,22/04/2017
Melbourne,683000.0,22/04/2017
Melbourne,640000.0,22/04/2017
Melbourne,740000.0,17/06/2017
Melbourne,720000.0,27/05/2017
Melbourne,1075000.0,8/07/2017
Melbourne,387000.0,15/07/2017
Melbourne,565000.0,29/07/2017
Melbourne,540000.0,29/07/2017
